Date,Open,High,Low,Close,Adj Close,Volume
2023-11-20,683.849976,686.700012,670.599976,674.049988,674.049988,461589.0
2023-11-21,678.650024,683.299988,674.75,680.950012,680.950012,296198.0
2023-11-22,684.75,687.349976,675.900024,681.099976,681.099976,553593.0
2023-11-23,682.150024,685.900024,677.099976,679.849976,679.849976,343592.0
2023-11-24,682.400024,682.400024,671.5,673.650024,673.650024,542886.0
2023-11-28,678.700012,699.450012,674.299988,697.599976,697.599976,666111.0
2023-11-29,701.200012,714.400024,694.25,712.150024,712.150024,1394705.0
2023-11-30,717.0,717.0,696.849976,706.25,706.25,924172.0
2023-12-01,709.700012,711.400024,703.0,705.700012,705.700012,818163.0
2023-12-04,715.849976,716.200012,704.650024,705.450012,705.450012,882686.0
2023-12-05,709.950012,715.0,705.299988,708.299988,708.299988,671733.0
2023-12-06,709.950012,724.5,708.799988,722.400024,722.400024,717210.0
2023-12-07,724.0,727.450012,716.0,721.900024,721.900024,631043.0
2023-12-08,723.650024,727.5,707.599976,714.650024,714.650024,800663.0
2023-12-11,718.299988,726.349976,717.0,720.75,720.75,694724.0
2023-12-12,725.849976,725.849976,713.0,715.299988,715.299988,294597.0
2023-12-13,716.799988,721.200012,713.700012,720.25,720.25,308155.0
2023-12-14,725.0,725.0,718.400024,719.650024,719.650024,299733.0
2023-12-15,724.0,734.049988,721.25,732.400024,732.400024,621031.0
2023-12-18,733.799988,734.849976,728.0,730.599976,730.599976,554393.0
2023-12-19,733.450012,733.450012,726.099976,729.200012,729.200012,202628.0
2023-12-20,730.049988,732.950012,703.0,704.950012,704.950012,999277.0
2023-12-21,702.450012,711.900024,695.900024,708.75,708.75,364318.0
2023-12-22,717.0,731.0,712.049988,724.599976,724.599976,941329.0
2023-12-26,727.0,727.799988,716.599976,719.650024,719.650024,577179.0
2023-12-27,727.349976,741.799988,725.099976,740.599976,740.599976,1164067.0
2023-12-28,743.400024,757.849976,739.0,754.200012,754.200012,430065.0
2023-12-29,756.450012,802.599976,753.900024,780.75,780.75,3504270.0
2024-01-01,786.700012,798.5,781.400024,790.5,790.5,1067010.0
2024-01-02,800.650024,804.0,779.150024,784.549988,784.549988,604902.0
2024-01-03,786.0,790.0,776.200012,781.349976,781.349976,652481.0
2024-01-04,797.25,801.849976,791.349976,795.650024,795.650024,652726.0
2024-01-05,800.0,805.849976,787.200012,790.549988,790.549988,908403.0
2024-01-08,798.849976,800.150024,787.599976,789.049988,789.049988,693387.0
2024-01-09,799.099976,809.0,793.700012,799.5,799.5,560888.0
2024-01-10,799.799988,810.75,792.799988,808.25,808.25,384042.0
2024-01-11,812.549988,817.400024,809.0,815.849976,815.849976,650222.0
2024-01-12,818.950012,818.950012,809.5,816.25,816.25,1029657.0
2024-01-15,821.950012,821.950012,810.849976,812.349976,812.349976,276367.0
2024-01-16,814.75,827.0,812.75,818.900024,818.900024,392615.0
2024-01-17,813.799988,813.799988,803.400024,805.549988,805.549988,688022.0
2024-01-18,,,,,,
2024-01-19,824.849976,825.650024,819.599976,823.299988,823.299988,663451.0
2024-01-23,824.0,827.700012,796.299988,800.400024,800.400024,1093429.0
2024-01-24,803.0,812.0,789.0,810.900024,810.900024,375528.0
2024-01-25,813.900024,813.900024,800.299988,811.450012,811.450012,532450.0
2024-01-29,813.75,843.700012,811.0,840.849976,840.849976,547076.0
2024-01-30,842.799988,886.299988,842.799988,859.25,859.25,759508.0
2024-01-31,866.650024,896.650024,865.450012,884.200012,884.200012,1451000.0
2024-02-01,901.900024,901.900024,876.099976,878.349976,878.349976,1071249.0
2024-02-02,886.799988,895.75,876.799988,878.799988,878.799988,741857.0
2024-02-05,942.0,949.599976,915.200012,926.799988,926.799988,2818087.0
2024-02-06,939.0,941.0,928.400024,939.450012,939.450012,916894.0
2024-02-07,943.549988,944.549988,928.25,933.549988,933.549988,390616.0
2024-02-08,937.700012,939.75,918.700012,924.450012,924.450012,380102.0
2024-02-09,927.700012,927.700012,906.049988,914.950012,914.950012,897703.0
